Sr.No,Exam,Subject,Unit,Chapter,Topic,Status,Topic ID
1,JEE,Chemistry,Physical Chemistry(PC-2),Surface Chemistry,Colloids and Emulsions,InActive,4714
2,JEE,Chemistry,Physical Chemistry(PC-2),Surface Chemistry,Adsorption & Catalysis,InActive,4713
3,JEE,Chemistry,Physical Chemistry(PC-2),Electrochemistry,Electrochemical Cells and Batteries,InActive,4712
4,JEE,Chemistry,Physical Chemistry(PC-2),Solid State,Defects and Electrical and Magnetic Properties of Solids,InActive,4711
5,JEE,Chemistry,Physical Chemistry(PC-2),Solid State,Packing efficiency (Closed Packing of spheres) and voids,InActive,4710
6,JEE,Chemistry,Physical Chemistry(PC-2),Solid State,Types of Solids and their properties,InActive,4709
7,JEE,Chemistry,Physical Chemistry(PC-2),Solutions and Colligative properties,Raoult's Law and Ideal solutions,InActive,4708
8,JEE,Chemistry,Physical Chemistry(PC-2),Solutions and Colligative properties,Solubility and Vapour Pressure of Liquid Solutions,InActive,4707
9,JEE,Chemistry,Physical Chemistry(PC-2),Solutions and Colligative properties,Solution and Concentration Terms,InActive,4706
10,JEE,Chemistry,Inorganic Chemistry(IOC-1),Hydrogen,Water- Hard and Soft water,InActive,4705
11,JEE,Chemistry,Inorganic Chemistry(IOC-1),Hydrogen,Hydrogen and its Compounds,InActive,4704
12,JEE,Chemistry,Inorganic Chemistry(IOC-1),"The s-Block Elements (Groups-1,2)",Important Compounds and Uses of Group 1 and 2 elements,InActive,4703
13,JEE,Chemistry,Inorganic Chemistry(IOC-1),"The s-Block Elements (Groups-1,2)",Group 2-Introduction and Properties,InActive,4702
14,JEE,Chemistry,Inorganic Chemistry(IOC-1),"The s-Block Elements (Groups-1,2)",Group 1-Introduction and Properties,InActive,4701
15,JEE,Chemistry,Inorganic Chemistry(IOC-1),"The P-Block elements (Groups 13, 14)",Important Compounds and Uses of Group 13 and 14 elements,InActive,4700
16,JEE,Chemistry,Inorganic Chemistry(IOC-1),"The P-Block elements (Groups 13, 14)",Group 14 -Introduction and Properties,InActive,4699
17,JEE,Chemistry,Inorganic Chemistry(IOC-1),"The P-Block elements (Groups 13, 14)",Group 13 -Introduction and Properties,InActive,4698
18,JEE,Chemistry,Inorganic Chemistry(IOC-1),Chemical Bonding,"Dipole Moment, Percentage Ionic Character, Fajan's Rule",InActive,4697
19,JEE,Chemistry,Inorganic Chemistry(IOC-1),Chemical Bonding,Ionic and Covalent Bonding and its applications,InActive,4696
20,JEE,Chemistry,Inorganic Chemistry(IOC-1),Periodic Table,Periodic Properties and its applications,InActive,4695
21,JEE,Chemistry,Inorganic Chemistry(IOC-1),Periodic Table,Periodic Table,InActive,4694
22,JEE,Chemistry,Inorganic Chemistry(IOC-1),Environmental Chemistry,Techniques to Control Pollution,InActive,4693
23,JEE,Chemistry,Inorganic Chemistry(IOC-1),Environmental Chemistry,Pollution and its Types,InActive,4692
24,JEE,Chemistry,Inorganic Chemistry(IOC-2),Metallurgy,Reduction and Refining of Ores,InActive,4691
25,JEE,Chemistry,Inorganic Chemistry(IOC-2),Metallurgy,Principles of Metallurgy,InActive,4690
26,JEE,Chemistry,Inorganic Chemistry(IOC-2),Metallurgy,"Occurrence, Concentration and conversion to oxide of Ores",InActive,4689
27,JEE,Chemistry,Inorganic Chemistry(IOC-2),"The P-Block Elements (Groups-15, 16, 17, 18)",Group 17 and 18-Important Compounds and Uses,InActive,4688
28,JEE,Chemistry,Inorganic Chemistry(IOC-2),"The P-Block Elements (Groups-15, 16, 17, 18)",Group 18-Introduction and Properties,InActive,4687
29,JEE,Chemistry,Inorganic Chemistry(IOC-2),"The P-Block Elements (Groups-15, 16, 17, 18)",Group 17-Introduction and Properties,InActive,4686
30,JEE,Chemistry,Inorganic Chemistry(IOC-2),"The P-Block Elements (Groups-15, 16, 17, 18)",Group 16-Introduction and Properties,InActive,4685
31,JEE,Chemistry,Inorganic Chemistry(IOC-2),"The P-Block Elements (Groups-15, 16, 17, 18)",Group 15-Introduction and Properties,InActive,4684
32,JEE,Chemistry,Inorganic Chemistry(IOC-2),The d- and f-Block Elements,Lanthanoids and Actinoids-Introduction and Properties and Uses,InActive,4683
33,JEE,Chemistry,Inorganic Chemistry(IOC-2),The d- and f-Block Elements,Important Compounds and USES of d and f-Block metals,InActive,4682
34,JEE,Chemistry,Inorganic Chemistry(IOC-2),The d- and f-Block Elements,d and f block elements- Introduction and Properties,InActive,4681
35,JEE,Chemistry,Inorganic Chemistry(IOC-2),Coordination Compounds,Chelation in Coordination Compounds,InActive,4680
36,JEE,Chemistry,Inorganic Chemistry(IOC-2),Coordination Compounds,"Introduction, Werner's Theory and Nomenclature",InActive,4679
37,JEE,Chemistry,Organic Chemistry(OC-2),Polymers,Important Polymers,InActive,4678
38,JEE,Chemistry,Organic Chemistry(OC-2),Polymers,Polymers and their Molecular Masses,InActive,4677
39,JEE,Chemistry,Organic Chemistry(OC-2),Biomolecules,"Vitamins, Nucleic Acids and Hormones",InActive,4676
40,JEE,Chemistry,Organic Chemistry(OC-2),Biomolecules,"Proteins, Amino Acids and Enzymes",InActive,4675
41,JEE,Chemistry,Organic Chemistry(OC-2),Biomolecules,Carbohydrates and Glucose,InActive,4674
42,JEE,Chemistry,Organic Chemistry(OC-2),Haloalkanes and Haloarenes,Properties of Haloalkanes and Haloarenes and Polyhalogen Compounds,InActive,4673
43,JEE,Chemistry,Organic Chemistry(OC-2),Haloalkanes and Haloarenes,Preparations of Haloalkanes and Haloarenes,InActive,4672
44,JEE,Chemistry,Organic Chemistry(OC-2),Haloalkanes and Haloarenes,Haloalkanes and Haloarenes-Classification and Nomenclature,InActive,4671
45,JEE,Chemistry,Organic Chemistry(OC-2),"Aldehydes, Ketones and Carboxylic Acids","Carboxylic Acids-Introduction, Preparation and Properties",InActive,4670
46,JEE,Chemistry,Organic Chemistry(OC-2),"Aldehydes, Ketones and Carboxylic Acids","Aldehydes and Ketones-Introduction, Preparation and Properties",InActive,4669
47,JEE,Chemistry,Organic Chemistry(OC-2),"Aldehydes, Ketones and Carboxylic Acids","Introduction and Uses of Aldehydes, Ketones and Carboxylic Acids",InActive,4668
48,JEE,Chemistry,Organic Chemistry(OC-2),"Alcohols, Phenols and Ethers","Ethers-Introduction, Preparation and Properties",InActive,4667
49,JEE,Chemistry,Organic Chemistry(OC-2),"Alcohols, Phenols and Ethers","Phenols-Introduction, Preparation and Properties",InActive,4666
50,JEE,Chemistry,Organic Chemistry(OC-2),"Alcohols, Phenols and Ethers","Alcohols-Introduction, Preparation and Properties and Tests",InActive,4665
51,JEE,Chemistry,Organic Chemistry(OC-2),Chemistry in Everyday Life,Chemicals in Food Products and Cleansing Agents,InActive,4664
52,JEE,Chemistry,Organic Chemistry(OC-2),Chemistry in Everyday Life,Drug-Types and Action,InActive,4663
53,JEE,Chemistry,Organic Chemistry(OC-2),Amines,"Diazonium Salt-Preparation, properties and applications",InActive,4662
54,JEE,Chemistry,Organic Chemistry(OC-2),Amines,Amines-Preparation and properties,InActive,4661
55,JEE,Chemistry,Physical Chemistry(PC-1),Structure of Atom,"Bohr's Model, De-broglie wavelength, Heisenberg Uncertainity Principle",InActive,4660
56,JEE,Chemistry,Physical Chemistry(PC-1),Structure of Atom,Particle Nature of light and Photoelectric effect,InActive,4659
57,JEE,Chemistry,Physical Chemistry(PC-1),Structure of Atom,Atomic Models and Electromagnetic Spectrum,InActive,4658
58,JEE,Chemistry,Physical Chemistry(PC-1),Redox Reactions,Applications of Redox reactions,InActive,4657
59,JEE,Chemistry,Physical Chemistry(PC-1),Redox Reactions,Redox Reactions and its balancing,InActive,4656
60,JEE,Chemistry,Physical Chemistry(PC-1),Chemical Equilibrium,Le chatelier's principle and Thermodynamics of Equilibrium,InActive,4655
61,JEE,Chemistry,Physical Chemistry(PC-1),Chemical Equilibrium,Equilibrium Constants and its applications,InActive,4654
62,JEE,Chemistry,Physical Chemistry(PC-1),Chemical Equilibrium,Law of Chemical Equilibrium,InActive,4653
63,JEE,Chemistry,Physical Chemistry(PC-1),Chemical Equilibrium,Introduction to Equilibrium,InActive,4652
64,JEE,Chemistry,Physical Chemistry(PC-1),Liquid and Gaseous States of Matter,Real Gas and its properties,InActive,4651
65,JEE,Chemistry,Physical Chemistry(PC-1),Liquid and Gaseous States of Matter,Gaseous Laws and Dalton's law,InActive,4650
66,JEE,Chemistry,Physical Chemistry(PC-1),Ionic Equilibrium,"Buffer Solutions, Indicators and its applications",InActive,4649
67,JEE,Chemistry,Physical Chemistry(PC-1),Ionic Equilibrium,"Ionic Equilibrium, Acids, Bases and Salts and Dissociation of water",InActive,4648
68,JEE,Chemistry,Physical Chemistry(PC-1),Thermodynamics,"Spontaneity, Entropy and Second and Third Law",InActive,4647
69,JEE,Chemistry,Physical Chemistry(PC-1),Thermodynamics,Enthalpies and Bond Energy,InActive,4646
70,JEE,Chemistry,Physical Chemistry(PC-1),Thermodynamics,Basics of Thermodynamics and First Law,InActive,4645
