,q_id,corr_opt,diff_lev,top_id,chap_id
2,2052,1,15,3699,236
3,2054,3,26,3646,227
4,2055,3,14,3470,294
5,2056,3,26,3469,294
6,2057,4,14,3469,294
7,2058,1,12,3638,224
8,2059,3,12,3666,230
9,2060,1,8,3638,224
10,2061,3,23,3666,230
13,2066,1,12,3638,224
14,2068,3,15,3666,230
15,2070,1,20,3678,232
16,2076,1,11,3561,309
17,2081,4,3,3739,252
18,2082,4,2,3701,237
19,2083,3,15,3712,240
21,2085,3,26,3729,249
23,2088,4,13,3729,249
24,2090,2,2,3734,249
25,2093,3,25,3722,247
26,2094,1,12,3619,242
27,2095,3,23,3678,232
28,2096,3,2,3630,245
29,2097,1,12,3728,249
30,2098,4,2,3707,239
32,2100,2,26,3672,231
33,2101,2,12,3628,244
34,2102,1,4,3723,247
37,2105,1,9,3683,232
38,2106,2,24,3661,229
39,2107,3,10,3693,235
40,2108,3,10,3729,249
42,2112,2,27,3752,256
44,2119,3,2,3630,245
46,2121,2,27,3672,231
47,2125,4,2,3739,252
48,2126,3,12,3729,249
50,2128,4,5,3729,249
51,2129,3,1,3729,249
52,2130,3,1,3704,238
53,2131,2,5,3670,231
54,2133,2,12,3735,250
55,2136,1,12,3619,242
57,2140,2,23,3661,229
58,2144,2,2,3728,249
61,2149,2,8,3735,250
63,2156,4,16,3773,311
64,2160,3,18,3964,324
65,2161,2,18,3458,291
66,2162,2,17,3495,298
67,2167,3,14,3462,293
68,2170,3,2,3477,295
69,2172,4,26,3469,294
70,2179,1,1,3463,293
71,2181,3,26,3212,288
72,2189,1,12,3148,266
73,2190,3,14,3190,286
74,2191,2,13,3246,277
75,2194,1,19,3172,267
76,2196,2,1,3399,263
77,2197,2,15,3286,275
78,2198,1,14,3357,283
79,2202,1,1,3638,224
80,2203,1,14,3394,280
81,2204,2,15,3264,273
82,2205,2,1,3340,278
83,2207,1,1,3216,287
84,2208,4,1,3156,265
85,2210,3,7,3311,270
86,2212,3,10,3317,269
87,2214,3,26,3666,230
88,2215,3,14,3690,234
89,2218,4,2,3736,250
90,2220,1,8,3678,232
92,2223,3,25,3271,273
93,2225,3,10,3638,224
94,2226,1,1,3179,267
95,2228,1,1,3226,289
96,2229,1,1,3364,281
98,2231,1,2,3684,233
99,2233,2,4,3183,268
101,2240,3,9,3727,248
102,2243,4,23,3638,224
103,2245,1,4,3733,249
104,2246,4,13,3653,228
106,2248,2,3,3748,255
107,2249,1,14,3729,249
108,2250,2,12,3738,251
109,2251,4,14,3344,284
110,2252,4,26,3727,248
111,2253,3,2,3200,285
