,topic,ques_found
90,P_Algebra of Vectors,1
91,P_Angular momentum,1
92,P_Beats,5
93,P_CAPACITORS AND CAPACITANCE,1
94,P_Characteristics of sound,1
95,P_Circuits,8
96,P_Circular Motion,21
97,P_Conduction,56
98,P_Constraint relation,18
99,P_Coulombs Law,44
100,P_Diffraction and Polarisation,1
101,P_Digital electronics and logic gates,1
102,P_Electric Charges & their Properties,1
103,P_Electric dipole,17
104,P_Electric field,77
105,P_Electric flux,7
106,P_Electromagnetic Induction and Inductance,1
107,P_ELECTROSTATIC POTENTIAL,10
108,P_Energy,120
109,P_Friction,34
110,P_Gas Laws,67
111,P_Gravitational potential,1
112,P_Gravity,1
113,P_Huygens wave theory,3
114,P_Interference of waves,1
115,P_Junction Transistor & Its Characteristics,1
116,P_Kepler's Law,1
117,P_Laws of motion in non inertial frame of reference,15
118,P_Laws of motion,98
119,P_Magnetism and matter,84
120,P_Mechanics of Rotational Motion,2
121,P_Molecular Theory,26
122,P_Moment of inertia,8
123,P_Momentum and Impulse,26
124,P_Newton's Law of Gravitation,3
125,P_Nuclear reactions,3
126,P_Nuclear structure and Energy,16
127,P_OPTICAL INSTRUMENTS AND HUMAN EYE,1
128,P_p-n junction Diode & its Characteristics,4
129,P_Pendulum,1
130,P_Periodic motion,4
131,P_Pressure,55
132,P_Principle of linear superposition,2
133,P_Radiation and Convection,27
134,P_Radioactivity,109
135,P_Reflection and Refraction of waves,1
136,P_REFLECTION,1
137,P_REFRACTION,1
138,P_Resonance,12
139,P_Rolling motion,1
140,P_Rotational motion,2
141,P_Scaterring of Light,3
142,P_Semiconductors,1
143,P_Simple harmonic motion,1
144,P_Sound waves,1
145,P_Spring force,13
146,P_Standing Waves,58
147,P_Superposition of Sinusoidal waves,1
148,P_Travelling wave model,1
149,P_Wave function,1
150,P_Waves on string,1
151,P_Young's double slit experiment,2
