q_id,corr_opt,diff_lev,top_id,chap_id
2052,['1'],15,3699,236
2054,['3'],26,3646,227
2055,['3'],14,3470,294
2056,['3'],26,3469,294
2057,['4'],14,3469,294
2058,['1'],12,3638,224
2059,['3'],12,3666,230
2060,['1'],8,3638,224
2061,['3'],23,3666,230
2066,['1'],12,3638,224
2068,['3'],15,3666,230
2070,['1'],20,3678,232
2076,['1'],11,3561,309
2081,['4'],3,3739,252
2082,['4'],2,3701,237
2083,['3'],15,3712,240
2085,['3'],26,3729,249
2088,['4'],13,3729,249
2090,['2'],2,3734,249
2093,['3'],25,3722,247
2094,['1'],12,3619,242
2095,['3'],23,3678,232
2096,['3'],2,3630,245
2097,['1'],12,3728,249
2098,['4'],2,3707,239
2100,['2'],26,3672,231
2101,['2'],12,3628,244
2102,['1'],4,3723,247
2105,['1'],9,3683,232
2106,['2'],24,3661,229
2107,['3'],10,3693,235
2108,['3'],10,3729,249
2112,['2'],27,3752,256
2119,['3'],2,3630,245
2121,['2'],27,3672,231
2125,['4'],2,3739,252
2126,['3'],12,3729,249
2128,['4'],5,3729,249
2129,['3'],1,3729,249
2130,['3'],1,3704,238
2131,['2'],5,3670,231
2133,['2'],12,3735,250
2136,['1'],12,3619,242
2140,['2'],23,3661,229
2144,['2'],2,3728,249
2149,['2'],8,3735,250
2156,['4'],16,3773,311
2160,['3'],18,3964,324
2161,['2'],18,3458,291
2162,['2'],17,3495,298
2167,['3'],14,3462,293
2170,['3'],2,3477,295
2172,['4'],26,3469,294
2179,['1'],1,3463,293
2181,['3'],26,3212,288
2189,['1'],12,3148,266
2190,['3'],14,3190,286
2191,['2'],13,3246,277
2194,['1'],19,3172,267
2196,['2'],1,3399,263
2197,['2'],15,3286,275
2198,['1'],14,3357,283
2202,['1'],1,3638,224
2203,['1'],14,3394,280
2204,['2'],15,3264,273
2205,['2'],1,3340,278
2207,['1'],1,3216,287
2208,['4'],1,3156,265
2210,['3'],7,3311,270
2212,['3'],10,3317,269
2214,['3'],26,3666,230
2215,['3'],14,3690,234
2218,['4'],2,3736,250
2220,['1'],8,3678,232
2223,['3'],25,3271,273
2225,['3'],10,3638,224
2226,"['1', '3', '4']",1,3179,267
2228,"['1', '2', '4']",1,3226,289
2229,"['1', '3', '4']",1,3364,281
2231,['1'],2,3684,233
2233,['2'],4,3183,268
2240,['3'],9,3727,248
2243,['4'],23,3638,224
2245,['1'],4,3733,249
2246,['4'],13,3653,228
2248,['2'],3,3748,255
2249,['1'],14,3729,249
2250,['2'],12,3738,251
2251,['4'],14,3344,284
2252,['4'],26,3727,248
2253,['3'],2,3200,285
2255,['1'],12,3623,243
2256,['1'],12,3746,254
2257,['3'],2,3377,282
2258,['4'],1,3222,287
2263,"['1', '2', '4']",2,3704,238
2265,['2'],9,3707,239
2266,"['1', '3', '4']",3,3701,237
2267,['1'],2,3647,227
2270,['2'],27,3723,247
2272,['3'],15,3712,240
2273,['1'],12,3701,237
2274,['4'],1,3410,258
2275,['3'],1,3173,267
2277,['1'],26,3729,249
2281,['3'],1,3444,260
2284,['4'],1,3711,240
2287,['4'],1,3430,261
2288,['1'],12,3622,243
2289,['1'],1,3163,265
2290,['4'],23,3619,242
2293,['2'],1,3212,288
2297,['3'],1,3322,269
2299,['3'],14,3304,270
2301,['3'],14,3490,297
2303,['1'],1,3726,248
2304,['2'],13,3141,264
2306,['3'],1,3399,263
2309,['4'],25,3250,277
2313,"['2', '4']",13,3197,285
2315,['1'],3,3490,297
2316,['2'],22,3326,269
2318,"['1', '3', '4']",10,3165,265
2319,['1'],10,3313,269
2320,['4'],15,3594,318
2323,['4'],1,3236,274
2325,['4'],1,3294,276
2327,['3'],1,3286,275
2328,['3'],10,3143,264
2330,['2'],1,3250,277
2331,['2'],1,3181,268
2332,['3'],15,3502,299
2333,['1'],26,3461,292
2334,['2'],23,3502,299
2337,['3'],10,3561,309
2342,['4'],14,3501,299
2345,['1'],14,3452,290
2348,['1'],24,3501,299
2353,['2'],10,3505,299
2355,['4'],12,3506,299
2358,['4'],14,3469,294
2359,['3'],25,3486,296
2360,['4'],2,3495,298
2363,['1'],11,3589,317
2367,['2'],4,3467,293
2371,['2'],2,3570,312
2372,['3'],12,3802,306
2375,['3'],27,3772,313
2377,"['1', '2', '4']",2,3773,311
2379,['2'],2,3547,307
2380,['2'],12,3801,306
2381,['2'],12,3527,305
2383,['4'],25,3450,290
2385,['1'],2,3520,304
2387,"['1', '4']",25,3711,240
2388,['4'],27,3638,224
2395,['2'],27,3690,234
2398,['3'],15,3160,265
2401,['4'],15,3220,287
2402,['3'],11,3217,287
2403,['1'],12,3701,237
2410,['4'],1,3705,238
2411,['3'],26,3414,259
2413,['2'],25,3344,284
2414,['2'],25,3141,264
2415,['3'],12,3193,285
2417,['2'],10,3447,260
2420,['4'],26,3280,271
2421,"['3', '4']",27,3752,256
2422,['4'],15,3143,264
2423,['4'],25,3280,271
2424,['4'],12,3330,269
2426,['1'],10,3284,275
2428,['4'],2,3812,308
2436,['1'],15,3241,274
2439,['2'],18,3813,308
2441,['3'],12,3345,284
2443,['1'],1,3444,260
2445,['2'],15,3280,271
2446,['4'],26,3357,283
2449,['4'],12,3415,259
2451,['2'],12,3142,264
2452,['4'],14,3964,324
2454,['4'],25,3185,286
2455,['3'],15,4318,270
2456,"['3', '4']",13,3341,284
2457,['3'],10,3163,265
2459,['1'],13,3207,288
2460,['2'],10,3221,287
2462,['1'],13,3221,287
2464,['2'],10,3226,289
2466,['2'],15,3174,267
2467,['2'],15,3238,274
2468,['1'],10,3172,267
2469,['2'],15,3179,267
2470,"['1', '4']",26,3289,275
2471,['3'],26,3177,267
2472,['1'],26,3198,285
2474,['1'],15,3307,270
2475,['4'],3,3486,296
2476,['3'],14,3789,300
2478,['4'],14,3518,303
2481,['2'],13,3224,287
2482,['4'],12,3336,278
2483,['4'],14,3772,313
2485,['3'],26,3292,276
2486,['1'],25,3166,265
2488,['3'],15,3344,284
2490,['2'],15,3271,273
2491,['3'],9,3594,318
2492,['2'],14,3490,297
2495,['3'],26,3964,324
2497,"['1', '3']",14,3689,233
2498,['1'],2,3807,306
2505,['1'],10,3590,318
2510,['1'],14,3500,299
2511,['1'],9,3707,239
2512,['3'],15,3789,300
2514,"['1', '3']",14,3772,313
2515,"['1', '4']",14,3462,293
2516,['3'],12,3637,224
2518,['4'],12,3735,250
2522,['3'],3,3628,244
2525,"['3', '4']",12,3502,299
2526,"['2', '3']",25,3157,265
2529,"['1', '4']",5,3146,264
2531,"['1', '2', '3']",12,3159,265
2533,['1'],14,3529,305
2534,['4'],27,3503,299
2536,['3'],2,3503,299
2537,['2'],27,3503,299
2541,['1'],18,3638,224
2543,['4'],1,3704,238
2545,['3'],19,3729,249
2555,['2'],2,3745,253
2556,"['1', '3']",2,3749,255
2557,"['1', '4']",2,3723,247
2564,"['1', '3']",12,3672,231
2567,['2'],10,3164,265
2572,"['2', '3']",17,3607,314
2585,['4'],14,3811,308
2587,"['2', '3', '4']",10,3178,267
2590,"['1', '4']",18,3774,311
2594,"['2', '3']",14,3503,299
2595,['1'],9,3712,240
2596,"['2', '4']",23,3963,324
2599,"['1', '3']",14,3587,317
2613,['4'],1,3704,238
2626,['3'],2,3727,248
2627,['3'],24,3729,249
2629,"['2', '4']",13,3755,256
2632,['2'],7,3738,251
2633,['2'],12,3412,259
2634,['4'],14,3745,253
2635,['1'],1,3746,254
2637,['4'],10,3713,240
2639,['2'],13,3205,288
2641,['4'],26,3628,244
2642,['3'],12,3266,273
2645,['1'],14,3811,308
2647,['3'],26,3633,245
2648,['2'],14,3473,294
2649,['1'],1,3635,246
2651,['3'],27,3638,224
2652,['2'],18,3774,311
2654,"['2', '3']",13,3229,289
2656,['2'],14,3556,309
2659,['1'],23,3712,240
2661,['2'],5,3563,310
2664,['1'],7,3632,245
3072,['2'],25,3927,351
3073,['3'],12,3926,351
3075,['3'],26,3821,328
3078,['3'],25,3911,347
3083,['1'],12,4214,381
3085,['3'],12,3866,336
3086,['3'],19,3846,332
3087,['1'],26,3930,352
3088,['3'],2,3849,333
3089,['2'],12,3890,343
3090,['4'],26,3934,354
3092,['1'],26,3886,342
3093,['2'],12,3857,334
3094,['2'],12,3886,342
3095,['2'],12,3878,340
3096,['2'],12,3897,344
3097,['4'],9,3873,338
3098,['3'],14,3886,342
3099,['4'],12,3869,337
3100,['3'],26,3908,347
3101,['2'],1,3939,357
3102,['4'],12,3875,339
3103,['1'],9,3857,334
3104,['2'],12,3842,332
3105,['3'],12,3960,355
3106,['2'],12,3917,349
3107,['3'],2,3932,353
3108,['3'],12,3845,332
3109,['4'],12,3824,329
3110,['3'],9,3844,332
3111,['1'],24,3906,346
3112,['1'],9,3831,330
3113,['4'],26,3832,330
3114,['2'],15,3916,349
3115,['1'],7,3862,335
3116,['2'],26,3881,341
3117,['4'],12,3933,354
3119,['1'],12,4080,371
3120,['1'],5,4227,382
3121,['1'],10,4174,386
3122,['4'],1,3965,365
3123,['1'],13,4267,389
3124,['2'],11,4008,363
3125,['3'],10,4044,368
3126,['1'],2,3997,364
3127,['4'],12,4172,386
3128,['3'],12,3989,361
3129,['2'],13,3978,360
3130,['2'],12,4161,378
3131,['1'],14,4184,385
3132,['3'],14,4229,388
3133,['3'],10,4150,377
3134,['4'],12,4242,387
3135,['3'],10,4167,380
3136,"['2', '3']",2,4193,383
3137,['3'],13,4185,385
3138,['2'],2,4272,391
3139,['4'],13,4112,379
3140,['4'],2,4042,368
3141,['3'],2,4185,385
3142,['2'],12,3988,361
3143,['1'],26,3987,361
3144,['4'],13,3997,364
3145,['4'],13,4006,363
3146,['3'],26,4197,383
3147,['3'],26,4254,390
3148,['4'],13,4180,386
3149,['2'],10,4225,382
3150,['2'],23,4015,362
3151,['4'],13,4029,367
3152,['1'],26,4101,376
3153,['4'],25,4377,625
3154,['4'],25,4559,618
3155,['3'],13,4370,589
3156,['1'],1,4571,620
3157,['1'],25,4496,608
3158,['1'],22,4445,599
3159,['4'],22,4485,606
3160,['4'],10,4438,597
3161,['2'],1,4336,622
3162,['2'],4,4545,615
3163,['3'],22,4349,587
3164,['2'],16,4428,596
3165,['2'],13,4533,612
3166,['3'],13,4496,608
3167,['3'],5,4526,611
3168,['1'],16,4548,616
3169,['2'],13,4350,587
3170,['3'],13,4513,610
3171,['3'],1,4498,608
3172,['3'],13,4345,624
3174,['1'],13,4519,610
3175,['4'],13,4342,624
3177,['4'],1,4395,591
3178,['1'],10,4464,601
3179,['1'],16,4464,601
3180,['1'],1,4476,603
3181,['3'],13,4503,609
3183,['1'],13,4437,597
3184,['2'],1,4441,598
3185,['1'],13,4542,614
3186,['4'],13,4350,587
3187,['1'],1,4492,607
3188,['4'],13,4513,610
3189,['1'],13,4384,626
3190,['3'],1,4548,616
3191,['4'],1,4529,612
3192,['2'],16,4507,609
3193,['3'],13,4567,620
3194,['4'],13,4569,620
3196,['4'],1,4467,602
3197,['2'],13,4563,619
3198,['3'],10,4530,612
3199,['2'],13,4376,625
3200,['2'],13,4387,626
3201,['2'],1,4448,599
3202,['2'],13,4539,614
3204,['1'],13,4563,619
3205,['2'],1,4473,603
3206,['1'],13,4360,588
3207,['1'],1,4381,590
3208,['4'],13,4570,620
3209,['2'],1,4469,602
3210,['4'],1,4575,590
3212,['3'],10,4564,619
3213,['2'],13,4554,617
3214,['4'],1,4400,592
3215,['2'],1,4480,604
3216,['4'],4,4387,626
3217,['4'],13,4486,606
3218,['3'],19,4390,591
3219,['4'],1,4539,614
3220,['3'],25,4399,591
3221,['2'],1,4508,610
3222,['2'],9,4488,607
3224,['2'],10,4525,611
3225,['3'],4,4387,626
3226,['2'],13,4449,599
3227,['3'],13,4505,609
3229,['1'],10,4542,614
3230,['1'],4,4534,613
3232,['2'],1,4410,593
3233,['3'],1,4487,606
3234,['1'],1,4486,606
3235,['2'],1,4503,609
3236,['1'],27,4454,600
3237,['3'],13,4416,594
3238,['4'],22,4460,601
3239,['4'],1,4387,626
3240,['2'],1,4374,625
3241,['4'],1,4400,592
3252,['2'],25,3871,337
3254,['4'],12,3858,335
3258,['3'],25,3933,354
3260,['2'],25,3920,350
3264,['3'],26,3911,347
3276,['4'],12,3921,350
3280,['2'],26,3928,351
3293,['4'],26,3911,347
3295,['4'],2,3826,329
3300,['4'],12,3933,354
3305,['1'],9,3954,359
3308,['3'],12,3909,347
3312,['2'],4,3856,334
3315,['3'],3,3834,331
3317,['3'],12,3917,349
3322,['1'],2,3886,342
3325,['3'],9,3857,334
3340,['3'],12,3932,353
3343,['4'],12,3933,354
3345,['4'],9,3904,346
3346,['3'],15,3909,347
3348,['3'],15,3879,340
3350,['2'],12,3834,331
3354,['3'],2,3920,350
3360,['1'],12,3884,341
3362,['3'],15,3884,341
3363,['2'],12,3817,326
3364,['1'],3,3853,334
3369,['1'],12,3842,332
3376,['2'],15,3933,354
3377,['1'],15,3911,347
3381,['3'],25,3854,334
3386,['3'],12,3906,346
3394,['2'],26,4075,372
3401,['3'],11,4267,389
3403,['3'],12,4146,373
3407,['4'],10,4187,385
3414,['3'],12,4130,375
3415,['4'],26,4101,376
3416,['2'],13,3987,361
3419,['1'],23,4090,371
3420,['1'],12,4075,372
3422,['1'],26,4124,374
3424,['2'],23,4079,372
3427,['3'],23,4175,386
3432,['2'],26,4103,376
3435,['3'],26,4145,373
3447,['2'],23,4088,371
3448,['1'],10,4225,382
3449,['4'],26,4107,376
3450,['3'],26,4092,371
3456,['4'],23,4031,367
3458,['2'],10,4264,389
3460,['1'],10,4265,389
3461,['1'],4,4198,383
3462,['1'],15,4141,373
3466,['3'],15,4126,374
3467,['3'],15,4047,368
3471,['1'],15,4258,389
3472,['3'],14,4267,389
3481,['2'],15,4090,371
3486,['2'],15,4146,373
3487,['2'],2,4179,386
3488,['2'],15,4130,375
3491,['1'],4,3842,332
3494,['4'],13,3927,351
3498,['2'],2,3956,355
3500,['1'],10,3939,357
3502,['1'],4,3911,347
3506,['4'],25,3869,337
3508,['3'],2,3960,355
3511,['4'],12,3932,353
3514,['2'],2,3872,338
3515,['2'],12,3930,352
3516,['4'],4,3898,344
3517,['3'],26,3911,347
3519,['1'],2,3817,326
3520,['4'],26,3830,330
3521,['4'],5,3868,337
3522,['1'],5,4585,330
3523,['1'],9,3886,342
3524,['3'],9,3881,341
3526,['3'],26,3932,353
3527,['2'],12,3933,354
3528,['2'],26,3921,350
3529,['1'],12,3898,344
3530,['4'],12,3904,346
3531,['2'],12,3906,346
3532,['2'],19,3910,347
3533,['2'],14,4179,386
3534,['2'],12,4226,382
3535,['3'],15,4172,386
3536,['3'],12,4175,386
3537,['1'],12,4207,384
3538,['2'],12,4193,383
3539,['4'],15,3988,361
3540,['1'],15,3976,360
3541,['3'],13,4033,367
3542,['4'],15,3988,361
3543,['4'],15,4007,363
3544,['1'],13,3977,360
3545,['2'],15,4023,366
3546,['4'],15,4115,374
3547,['3'],15,4149,377
3548,['1'],26,4090,371
3549,['4'],15,4118,374
3550,['1'],15,3987,361
3551,['3'],15,4229,388
3552,['3'],15,4044,368
3553,['2'],9,4066,372
3554,['4'],13,4014,362
3555,['3'],13,4264,389
3556,['3'],1,4512,610
3557,['4'],1,4387,626
3558,['3'],2,4502,609
3559,['1'],1,4515,610
3560,['1'],1,4500,609
3561,['2'],1,4410,593
3562,['3'],1,4424,595
3564,['4'],10,4350,587
3568,['1'],4,4367,589
3569,['3'],4,4342,624
3570,['4'],13,4416,594
3571,['2'],10,4342,624
3572,['3'],1,4545,615
3573,['2'],16,4530,612
3574,['3'],10,4549,616
3575,['3'],13,4365,588
3576,['3'],16,4340,624
3577,['3'],22,4399,591
3578,['3'],13,4528,611
3579,['4'],25,4521,611
3580,['2'],1,4453,600
3581,['2'],25,4473,603
3582,['2'],10,4502,609
3583,['4'],13,4468,602
3584,['1'],13,4380,590
3585,['1'],13,4477,604
3586,['4'],22,4452,600
3587,['1'],16,4477,604
3588,['1'],22,4575,590
3589,['3'],13,4441,598
3590,['3'],10,4493,607
3591,['4'],25,4488,607
3592,['2'],13,4566,620
3593,['2'],25,4554,617
3594,['1'],25,4529,612
3595,['2'],25,4529,612
3596,['4'],25,4532,612
3597,['2'],25,4393,591
3598,['3'],25,4545,615
3599,['3'],22,4503,609
3600,['1'],25,4494,607
3601,['3'],19,4563,619
3602,['3'],22,4447,599
3603,['3'],9,3947,358
3604,['2'],10,3878,340
3605,['3'],12,3883,341
3606,['2'],25,3923,351
3607,['3'],12,3928,351
3608,['2'],9,3890,343
3609,['1'],12,3887,342
3610,['2'],26,3900,345
3611,['3'],2,3906,346
3612,['3'],9,3898,344
3613,['4'],25,3909,347
3614,['2'],25,3937,356
3615,['2'],12,3886,342
3616,['2'],3,3885,342
3617,['4'],9,3933,354
3618,['3'],9,3917,349
3619,['3'],26,3921,350
3620,['2'],3,3950,359
3621,['2'],12,3939,357
3622,['4'],3,3930,352
3623,['3'],26,3932,353
3624,['3'],4,3960,355
3625,['1'],9,3926,351
3626,['3'],15,3857,334
3627,['3'],15,3851,333
3628,['4'],15,3840,331
3629,['2'],12,3834,331
3630,['4'],12,3817,326
3631,['4'],25,3856,334
3632,['1'],15,3869,337
3633,['2'],12,3853,334
3634,['1'],2,3862,335
3635,['4'],12,3864,336
3636,['2'],4,3882,341
3637,['3'],10,4213,381
3638,['1'],10,3993,364
3639,['1'],10,4057,369
3640,['4'],15,3990,364
3641,['3'],2,4097,371
3642,['2'],15,3988,361
3643,['4'],5,4150,377
3644,"['2', '3']",5,4161,378
3645,['4'],13,4102,376
3646,['3'],7,4148,377
3647,['1'],2,4098,371
3648,['2'],10,3976,360
3649,['3'],15,3966,365
3650,['4'],10,4118,374
3651,['4'],14,4141,373
3652,['2'],13,3987,361
3653,['3'],13,4083,371
3654,['4'],11,4134,375
3655,['3'],12,4030,367
3656,['2'],10,4027,366
3657,['3'],12,4023,366
3658,['2'],12,4024,366
3659,['2'],16,4275,391
3660,['3'],10,4199,383
3661,['1'],15,4184,385
3662,['3'],4,4167,380
3663,['2'],12,4233,388
3664,['3'],10,4004,363
3665,['3'],13,4209,384
3666,['2'],1,4234,388
3667,['1'],12,4176,386
3668,['4'],1,4198,383
3669,['2'],10,3984,361
3670,['4'],10,3983,361
3671,['3'],13,4449,599
3674,['3'],25,4476,603
3675,['3'],25,4477,604
3676,['1'],20,4477,604
3677,['1'],15,4473,603
3678,['3'],20,4493,607
3679,['1'],25,4493,607
3680,['4'],15,4490,607
3681,['4'],26,4496,608
3682,['4'],13,4341,624
3683,['1'],13,4365,588
3684,['2'],13,4381,590
3685,['2'],26,4365,588
3686,['3'],13,4360,588
3687,['2'],1,4341,624
3688,['4'],22,4554,617
3689,['2'],1,4564,619
